,x1,y1,x2,y2,percent,class
0,341.84912,468.0949,386.0774,512.5017,0.9919956,1.0
1,532.8076,162.35156,552.7511,186.4585,0.98385644,3.0
2,588.81116,216.2392,612.1742,235.52667,0.981875,3.0
3,508.66583,161.11987,528.70795,185.17664,0.97845334,3.0
4,95.69118,9.913876,116.41589,33.402657,0.97311854,3.0
5,331.3399,319.3089,354.35895,340.41974,0.96864563,3.0
6,615.7923,201.45407,637.49005,220.64346,0.96123385,3.0
7,55.43815,572.98126,75.92605,596.8,0.9579621,3.0
8,102.004425,544.681,124.31464,566.64087,0.95555496,3.0
9,106.81845,499.00897,126.580475,523.52704,0.9539587,3.0
10,409.03314,210.95972,430.68964,234.42804,0.9464246,2.0
11,285.6966,47.89534,307.1833,69.75241,0.9424407,0.0
12,449.042,516.5737,470.44092,540.21094,0.94201154,2.0
13,516.79553,568.3113,538.62463,590.90967,0.9397838,2.0
14,113.58659,433.16223,135.77278,457.06207,0.9332884,3.0
15,567.2168,428.10553,588.427,452.06183,0.9331106,2.0
16,262.1402,239.65976,282.88947,260.4499,0.9294291,0.0
17,494.14563,252.51395,512.7063,277.1019,0.92274344,3.0
18,456.66058,271.26477,474.08215,289.93115,0.9214682,3.0
19,451.98737,371.27002,481.2923,394.5636,0.9166672,2.0
20,379.3001,302.3144,400.4461,326.27405,0.915439,3.0
21,397.5237,375.23044,419.15353,396.70535,0.9114317,0.0
22,465.7212,283.5656,485.69507,305.1623,0.90859294,2.0
23,228.45987,259.33704,248.43015,281.21265,0.9085453,0.0
24,253.14294,383.65314,274.25757,404.77972,0.9038337,0.0
25,292.0085,558.1353,313.36667,579.89276,0.89050967,0.0
26,189.74248,118.53645,211.15816,139.61885,0.88469386,0.0
27,66.04894,354.70895,86.2423,375.34787,0.86165804,0.0
28,139.1883,91.9041,162.13034,114.4626,0.8209708,0.0
29,0.19509888,556.121,20.631191,574.1979,0.81853336,2.0
30,28.693653,537.9465,48.27799,560.0269,0.8173377,2.0
31,246.7286,137.51816,266.26083,156.97482,0.8021496,2.0
32,0.0,391.90103,16.056835,415.3206,0.7651399,0.0
33,184.0484,625.0507,200.03363,640.0,0.7506884,2.0
34,486.29907,461.2968,506.69897,481.1772,0.7439067,2.0
35,201.03857,624.6455,217.06317,639.8701,0.71225077,2.0
