,x1,y1,x2,y2,percent,class
0,341.98883,467.90033,385.87738,512.9484,0.99166226,1.0
1,588.67126,216.15509,612.37537,235.8876,0.9762606,3.0
2,55.443596,572.8778,75.64312,596.83264,0.969132,3.0
3,331.3439,319.33792,354.29642,340.4465,0.9677269,3.0
4,95.71579,9.940372,116.40663,33.332474,0.96612483,3.0
5,151.86719,469.92902,172.69458,493.61273,0.9649975,3.0
6,421.99805,52.855057,444.80554,74.01218,0.96462226,3.0
7,615.5941,201.26422,637.42346,220.57507,0.96342665,3.0
8,162.93369,346.41406,186.13715,367.3905,0.9627036,3.0
9,101.942986,544.61224,124.37289,566.7503,0.9607099,3.0
10,532.4276,162.07617,552.546,186.51901,0.95975864,3.0
11,508.99448,161.90326,528.942,185.08362,0.956408,3.0
12,106.84326,499.01312,126.493164,523.2198,0.9443264,3.0
13,285.67795,47.700775,307.34122,69.81287,0.94289833,0.0
14,409.1449,211.01404,430.6214,234.45844,0.94083667,2.0
15,0.0,391.72067,16.363022,414.62668,0.93992025,0.0
16,301.3073,147.70636,323.448,165.60504,0.93903697,3.0
17,228.24016,259.35986,249.33266,280.9756,0.9389241,0.0
18,516.6986,568.2448,538.3685,590.74774,0.9362509,2.0
19,567.1575,428.03128,588.4502,452.04172,0.9339063,2.0
20,449.19913,516.56714,470.387,540.2234,0.9333639,2.0
21,465.6226,283.4823,485.73312,305.1767,0.9324305,2.0
22,421.87268,120.87648,441.13293,143.06618,0.9319894,3.0
23,114.07468,433.17645,134.18393,456.90753,0.9314679,3.0
24,388.4992,71.38432,407.83038,94.77605,0.9300714,3.0
25,261.67175,239.1112,283.2478,260.69507,0.9193952,0.0
26,397.44775,375.13116,419.1734,396.7541,0.9183786,0.0
27,253.11754,383.54022,274.37683,404.7785,0.9159645,0.0
28,493.59515,253.33002,512.7878,277.02954,0.9135939,3.0
29,189.52435,118.41977,211.2221,140.4307,0.91174805,0.0
30,452.20187,371.31494,481.25156,394.55493,0.9110479,2.0
31,139.41408,91.96167,160.4546,114.36786,0.90266806,0.0
32,292.17664,557.97217,313.515,580.3241,0.9010089,0.0
33,456.74683,271.25247,473.8733,289.7103,0.8853926,3.0
34,379.3125,302.3118,400.37433,326.17966,0.8705287,3.0
35,66.329025,354.35846,87.27716,376.22272,0.86632717,0.0
