                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9383,                 4.7798,                 1.2445,                0.74231,                0.09983,                0.08054,                0.05777,                  1.395,                 4.9691,                 1.0618,              6.363e-05,              6.363e-05,              6.363e-05
                      2,                 1.3301,                 2.4662,                 1.0491,                0.63072,                0.43799,                0.52156,                0.36201,                 1.1096,                 2.3293,                 1.0071,              0.0001359,              0.0001359,              0.0001359
                      3,                 1.1723,                 1.4439,                0.96579,                0.65623,                0.61748,                0.66189,                0.45523,                 1.0175,                 9.2119,                0.97664,             0.00020769,             0.00020769,             0.00020769
                      4,                 1.1478,                 1.3046,                0.97757,                0.26059,                0.54417,                0.25167,                0.17902,                 1.0023,                    inf,                0.99721,               0.000279,               0.000279,               0.000279
                      5,                0.99044,                 1.0651,                  0.906,                0.26556,                0.37831,                0.18247,                0.12379,                 1.0438,                    inf,                0.96012,             0.00034983,             0.00034983,             0.00034983
                      6,                 1.0254,                 1.0851,                0.93222,                0.39485,                0.67818,                0.40662,                0.28086,                 1.1385,                    inf,                0.98507,             0.00042018,             0.00042018,             0.00042018
                      7,                0.99821,                0.89856,                0.89793,                0.42214,                0.63422,                0.43606,                 0.3131,                 1.0516,                    inf,                0.96849,             0.00049005,             0.00049005,             0.00049005
                      8,                0.90923,                0.80553,                0.88486,                0.68266,                0.69759,                 0.6987,                0.53055,                0.93801,                 1.7855,                0.94706,             0.00055944,             0.00055944,             0.00055944
                      9,                0.89967,                0.78524,                0.88741,                0.28316,                0.74776,                0.29085,                0.21646,                 1.0084,                    nan,                 13.602,             0.00062835,             0.00062835,             0.00062835
                     10,                0.97771,                0.85105,                0.90062,                0.35525,                0.83061,                0.33096,                0.25115,                    nan,                    nan,                    nan,             0.00069678,             0.00069678,             0.00069678
                     11,                0.97023,                0.75738,                0.89423,                0.81653,                 0.8662,                0.89804,                0.66448,                 0.9352,                  1.072,                 1.1343,             0.00076473,             0.00076473,             0.00076473
                     12,                0.84406,                0.69826,                0.87604,                0.90128,                 0.8528,                0.90693,                0.68757,                 0.8452,                0.96497,                 0.9296,              0.0008322,              0.0008322,              0.0008322
                     13,                0.89315,                0.71143,                0.87451,                0.87874,                0.86239,                0.89198,                0.66566,                0.94242,                 1.0362,                 0.9213,               0.000873,               0.000873,               0.000873
                     14,                0.92199,                0.65741,                  0.883,                0.84327,                0.84871,                0.87856,                 0.6576,                0.88226,                0.86405,                0.92171,               0.000873,               0.000873,               0.000873
                     15,                0.95521,                0.70139,                0.88565,                0.88385,                 0.8589,                0.89312,                0.67347,                0.88612,                0.81594,                0.91246,                0.00087,                0.00087,                0.00087
                     16,                0.88529,                0.63387,                0.86606,                0.82517,                0.86719,                0.89319,                0.67508,                0.87162,                0.76472,                0.90845,               0.000867,               0.000867,               0.000867
                     17,                0.87444,                0.62042,                0.86098,                0.85557,                0.88882,                 0.9051,                0.70015,                0.82342,                 0.7072,                0.89116,               0.000864,               0.000864,               0.000864
                     18,                0.86163,                0.61271,                0.86156,                0.81589,                0.88038,                0.90159,                0.67392,                0.88843,                 0.7826,                0.90787,               0.000861,               0.000861,               0.000861
                     19,                0.81479,                0.58003,                0.85843,                0.84061,                0.88875,                0.91567,                0.71797,                0.80077,                0.72009,                0.89154,             0.00085801,             0.00085801,             0.00085801
                     20,                0.82789,                0.57991,                0.86218,                0.88059,                0.89916,                0.91341,                0.71764,                0.83032,                0.67731,                0.89235,             0.00085501,             0.00085501,             0.00085501
                     21,                0.82239,                0.57146,                0.86112,                0.90593,                 0.8896,                0.92255,                0.71721,                0.81449,                0.64832,                0.88419,             0.00085201,             0.00085201,             0.00085201
