                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7856,                 3.2088,                  1.223,                 0.4787,                0.59749,                0.52574,                0.35829,                 1.1678,                 4.3524,                 1.0076,             0.00019998,             0.00019998,             0.00019998
                      2,                 1.3712,                 1.4961,                 1.0463,                0.37023,                0.71581,                0.50071,                0.36001,                 1.0666,                    inf,                0.96053,              0.0004077,              0.0004077,              0.0004077
                      3,                 1.2773,                 1.1438,                0.99618,                0.61318,                0.68054,                0.70108,                0.46426,                 1.1284,                 2.0956,                 1.0218,             0.00061404,             0.00061404,             0.00061404
                      4,                  1.218,                 1.0661,                   0.98,                0.65345,                0.81722,                0.68323,                0.50687,                 1.0615,                    inf,                 1.0694,               0.000819,               0.000819,               0.000819
                      5,                  1.182,                0.92538,                0.97277,                0.61354,                0.86846,                0.72183,                0.50568,                 1.0454,                 4.0794,                 1.0407,               0.000897,               0.000897,               0.000897
                      6,                 1.1763,                0.85189,                0.96517,                 0.7123,                0.82268,                0.81328,                0.58469,                 1.0263,                  1.089,                0.92791,               0.000897,               0.000897,               0.000897
                      7,                 1.1606,                0.81967,                0.95245,                0.84485,                0.88087,                0.89281,                0.66253,                0.93743,                0.74809,                0.92607,               0.000894,               0.000894,               0.000894
                      8,                 1.1362,                0.78674,                0.95713,                0.85902,                0.84596,                0.90705,                0.69262,                0.93265,                0.79469,                0.92381,               0.000891,               0.000891,               0.000891
                      9,                 1.1541,                 0.7746,                0.95161,                0.82303,                0.89004,                0.90367,                 0.6692,                0.94841,                 0.7417,                0.93633,               0.000888,               0.000888,               0.000888
                     10,                 1.1271,                0.73131,                0.94927,                0.84416,                0.86111,                0.89209,                0.66047,                0.95183,                0.70896,                0.92631,               0.000885,               0.000885,               0.000885
                     11,                 1.0787,                0.70136,                0.93239,                 0.8123,                0.86795,                0.88932,                0.64441,                0.96342,                0.73268,                 0.9354,               0.000882,               0.000882,               0.000882
                     12,                 1.0595,                0.71208,                0.92776,                0.89112,                0.85756,                0.90317,                0.66526,                0.98996,                 0.7234,                0.92159,               0.000879,               0.000879,               0.000879
                     13,                 1.0732,                0.70564,                0.93929,                 0.8363,                0.91122,                0.91286,                0.69073,                 0.8855,                0.66272,                 0.9054,               0.000876,               0.000876,               0.000876
                     14,                 1.0573,                0.70682,                0.93022,                0.84418,                 0.8418,                0.91574,                0.67702,                0.93159,                0.72343,                0.92266,               0.000873,               0.000873,               0.000873
                     15,                 1.0503,                0.69042,                0.92447,                0.85187,                0.87722,                0.90542,                0.68281,                0.87294,                0.65971,                0.91199,                0.00087,                0.00087,                0.00087
                     16,                 1.0297,                  0.656,                0.92145,                0.83415,                0.90167,                0.90766,                0.66064,                0.98982,                0.66281,                0.92654,               0.000867,               0.000867,               0.000867
                     17,                 1.0347,                0.65313,                0.91509,                0.90579,                0.85612,                0.91167,                0.68813,                0.93474,                 0.6356,                0.92385,               0.000864,               0.000864,               0.000864
                     18,                 1.0236,                0.66069,                0.91851,                0.88885,                0.88531,                0.91519,                 0.6815,                0.94839,                0.64263,                0.91579,               0.000861,               0.000861,               0.000861
                     19,                 1.0034,                0.63847,                 0.9126,                0.86536,                0.88423,                0.90867,                0.67838,                 0.9327,                0.61931,                0.90885,             0.00085801,             0.00085801,             0.00085801
                     20,                0.97962,                0.61584,                0.89617,                0.86797,                0.90363,                0.91813,                0.69007,                 0.9227,                0.64076,                0.91208,             0.00085501,             0.00085501,             0.00085501
                     21,                0.99641,                0.62168,                0.91006,                0.88256,                0.89527,                0.91463,                0.66081,                 1.0507,                0.65099,                0.93465,             0.00085201,             0.00085201,             0.00085201
                     22,                 1.0153,                0.61969,                0.91907,                 0.8873,                0.90853,                0.91435,                0.72141,                0.83253,                 0.5952,                0.89305,             0.00084901,             0.00084901,             0.00084901
                     23,                 1.0231,                0.61479,                0.91414,                0.85062,                0.88631,                0.90784,                 0.7031,                0.85019,                0.62128,                0.89826,             0.00084601,             0.00084601,             0.00084601
                     24,                  1.035,                0.63078,                0.91148,                0.89142,                0.88718,                0.90516,                0.70403,                 0.8681,                 0.6396,                0.90041,             0.00084301,             0.00084301,             0.00084301
                     25,                0.98019,                0.59767,                0.90033,                0.90276,                0.87549,                0.90685,                0.69265,                0.88081,                0.66109,                0.90567,             0.00084001,             0.00084001,             0.00084001
                     26,                0.96864,                0.59849,                0.89612,                0.90157,                0.85546,                0.90713,                0.69136,                0.91351,                0.64473,                0.90048,             0.00083701,             0.00083701,             0.00083701
                     27,                0.95079,                0.57887,                0.89961,                0.86225,                0.86966,                0.89399,                  0.688,                0.88985,                0.65604,                0.89801,             0.00083401,             0.00083401,             0.00083401
                     28,                0.96104,                0.59158,                0.89126,                0.88036,                0.86641,                0.91235,                0.71715,                0.84899,                0.60771,                0.88514,             0.00083101,             0.00083101,             0.00083101
                     29,                0.94305,                0.58483,                0.89881,                0.87645,                 0.8743,                 0.9078,                 0.6736,                 0.9831,                 0.6641,                0.91442,             0.00082801,             0.00082801,             0.00082801
                     30,                0.93603,                0.58841,                0.89362,                 0.9131,                0.89891,                0.91471,                0.71786,                0.84872,                 0.6372,                 0.8956,             0.00082501,             0.00082501,             0.00082501
                     31,                0.94812,                0.57127,                0.88327,                0.84644,                0.90445,                0.91656,                0.70862,                0.89519,                0.62934,                0.89503,             0.00082201,             0.00082201,             0.00082201
                     32,                0.93688,                0.57111,                0.89607,                0.91255,                0.89196,                0.92024,                0.69168,                0.94714,                0.61211,                0.89901,             0.00081901,             0.00081901,             0.00081901
                     33,                0.91971,                0.55694,                0.87779,                0.89843,                0.87753,                0.91842,                0.69738,                0.93908,                0.62228,                0.89691,             0.00081601,             0.00081601,             0.00081601
                     34,                0.92318,                0.55672,                0.88539,                0.88008,                0.87485,                0.90978,                  0.711,                0.87295,                0.61204,                0.89232,             0.00081301,             0.00081301,             0.00081301
                     35,                0.92788,                0.54821,                0.88791,                 0.8537,                0.91337,                0.91578,                0.71048,                0.87705,                0.60692,                 0.8896,             0.00081001,             0.00081001,             0.00081001
                     36,                 0.9363,                0.55796,                 0.8819,                 0.8711,                0.86262,                0.89758,                 0.6886,                0.88911,                0.62562,                0.90036,             0.00080701,             0.00080701,             0.00080701
                     37,                0.89844,                0.54247,                0.87951,                0.88264,                0.89936,                0.91163,                0.68199,                0.96988,                0.62275,                0.91214,             0.00080401,             0.00080401,             0.00080401
                     38,                0.91534,                0.53901,                0.88879,                0.86839,                0.90446,                0.91208,                  0.659,                 1.0069,                0.65211,                0.92576,             0.00080101,             0.00080101,             0.00080101
                     39,                0.96389,                0.55316,                 0.8941,                0.88084,                0.89204,                0.91039,                0.71801,                0.86035,                 0.6258,                0.88839,             0.00079801,             0.00079801,             0.00079801
                     40,                0.92836,                0.54255,                0.88846,                0.90558,                0.90365,                0.91457,                0.71858,                 0.8807,                0.60039,                0.88803,             0.00079501,             0.00079501,             0.00079501
                     41,                0.90574,                0.52422,                0.87705,                0.90926,                0.91893,                0.91682,                 0.6985,                0.91668,                0.60255,                0.90446,             0.00079201,             0.00079201,             0.00079201
