,x1,y1,x2,y2,percent,class
0,441.94385,342.68982,456.86566,357.90637,0.92274386,6.0
1,379.59924,296.86996,394.47803,311.63773,0.9185729,6.0
2,291.34018,345.18005,305.89743,360.13574,0.91614527,6.0
3,398.59283,270.63336,414.32562,285.8365,0.90857816,6.0
4,423.79474,371.91187,439.66528,387.6798,0.9065139,6.0
5,301.06064,298.7138,331.27164,327.74384,0.9062672,1.0
6,241.31427,455.1479,256.94406,471.3327,0.8986649,6.0
7,367.4536,276.01404,383.1023,291.00378,0.8914705,6.0
8,335.5197,420.9042,350.28705,436.38492,0.87556285,6.0
9,327.67615,434.49213,356.0868,463.04926,0.8689197,1.0
10,53.044785,192.2384,67.25105,206.85071,0.86557764,6.0
11,440.69922,258.3542,456.11078,273.30676,0.8615063,6.0
