                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7117,                 3.6318,                 1.0475,                0.00621,                0.11111,                0.00371,                0.00184,                 1.2901,                 3.7803,                0.87631,                      0,                      0,                      0
                      2,                 1.4994,                 3.7306,                0.98032,                 0.0063,                0.11111,                0.00368,                0.00186,                 1.2776,                 3.7896,                0.87104,             1.2376e-05,             1.2376e-05,             1.2376e-05
                      3,                 1.6841,                 3.6279,                 1.0514,                 0.0063,                0.11111,                0.00364,                0.00184,                 1.2665,                 3.8015,                0.86855,             2.4505e-05,             2.4505e-05,             2.4505e-05
                      4,                 1.6024,                  3.428,                 1.0193,                 0.0024,                0.11111,                0.00163,                0.00093,                   1.25,                 3.8061,                0.86452,             3.6386e-05,             3.6386e-05,             3.6386e-05
                      5,                 1.5113,                 3.5757,                0.95169,                0.00284,                0.13333,                0.00201,                0.00098,                 1.2364,                 3.8107,                 0.8613,              4.802e-05,              4.802e-05,              4.802e-05
                      6,                 1.6782,                 3.6871,                 1.0035,                 0.0404,                0.67778,                0.09571,                0.05844,                 1.1569,                 2.8967,                  0.849,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      7,                 1.5576,                 2.4765,                 1.0204,                0.29071,                0.39647,                0.39607,                0.27467,                 1.0235,                 1.9416,                0.84066,             7.0545e-05,             7.0545e-05,             7.0545e-05
                      8,                 1.4141,                 1.8454,                0.96623,                0.52132,                0.70475,                0.55213,                0.42879,                0.84743,                 1.3755,                0.82644,             8.1436e-05,             8.1436e-05,             8.1436e-05
                      9,                 1.2534,                 1.5105,                0.89748,                0.88259,                0.81777,                0.93386,                0.74508,                0.77239,                 1.1373,                0.82366,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                 1.2877,                 1.1253,                  0.906,                0.69822,                0.83183,                0.92968,                0.69836,                0.80435,                 1.3139,                0.82889,             0.00010248,             0.00010248,             0.00010248
                     11,                 1.1634,                 1.0352,                0.90664,                0.65966,                0.95556,                0.80314,                0.60087,                0.82574,                 1.7865,                0.83103,             0.00011263,             0.00011263,             0.00011263
                     12,                 1.1388,                0.94686,                0.89392,                0.68334,                0.95556,                0.71947,                0.52038,                0.84306,                 3.2605,                0.83299,             0.00012253,             0.00012253,             0.00012253
                     13,                 1.2813,                 1.0807,                 0.9342,                0.65025,                0.96062,                0.73876,                0.58498,                0.85138,                 3.8851,                0.83328,             0.00013218,             0.00013218,             0.00013218
                     14,                 1.1559,                 1.0012,                0.90348,                0.70167,                0.88994,                 0.7685,                0.60698,                 0.8785,                 3.0468,                0.83627,             0.00014159,             0.00014159,             0.00014159
                     15,                 1.1784,                0.98936,                0.91479,                0.69018,                0.89168,                0.77256,                0.58064,                0.96705,                 3.8405,                0.84459,             0.00015075,             0.00015075,             0.00015075
                     16,                 1.0987,                0.84199,                0.87741,                 0.4029,                0.99409,                0.69662,                 0.5359,                0.92614,                 7.2897,                0.84275,             0.00015966,             0.00015966,             0.00015966
                     17,                 1.0302,                0.78408,                0.88454,                0.39462,                      1,                0.43309,                0.32619,                0.81556,                 12.118,                0.83447,             0.00016832,             0.00016832,             0.00016832
                     18,                 1.1262,                0.83285,                0.87473,                0.39462,                      1,                0.43309,                0.32619,                0.81556,                 12.118,                0.83447,             0.00017674,             0.00017674,             0.00017674
                     19,                 1.1891,                0.80563,                0.88667,                0.40042,                0.99284,                0.43593,                0.33707,                0.75337,                 13.071,                0.83112,             0.00018491,             0.00018491,             0.00018491
                     20,                 1.0468,                0.78139,                0.85263,                0.40042,                0.99284,                0.43593,                0.33707,                0.75337,                 13.071,                0.83112,             0.00019283,             0.00019283,             0.00019283
                     21,                0.95619,                0.72583,                0.87307,                0.41492,                0.98574,                0.48754,                0.37772,                0.73216,                 9.9072,                 0.8261,              0.0002005,              0.0002005,              0.0002005
                     22,                0.95096,                0.67977,                0.83951,                0.41492,                0.98574,                0.48754,                0.37772,                0.73216,                 9.9072,                 0.8261,             0.00020793,             0.00020793,             0.00020793
                     23,                 1.0284,                0.75085,                0.88241,                0.39279,                      1,                  0.413,                0.34481,                0.70037,                 16.976,                0.82088,             0.00021511,             0.00021511,             0.00021511
                     24,                 1.0822,                 0.7907,                0.86368,                0.39279,                      1,                  0.413,                0.34481,                0.70037,                 16.976,                0.82088,             0.00022204,             0.00022204,             0.00022204
                     25,                 1.0727,                0.75304,                0.84558,                0.40362,                0.99939,                0.41456,                0.33907,                0.73832,                 14.868,                0.82549,             0.00022872,             0.00022872,             0.00022872
                     26,                 1.0801,                0.88091,                0.87477,                0.40362,                0.99939,                0.41456,                0.33907,                0.73832,                 14.868,                0.82549,             0.00023516,             0.00023516,             0.00023516
                     27,                 1.0076,                0.73681,                0.85832,                0.62591,                0.97877,                0.77614,                 0.6029,                0.79681,                 2.3595,                0.83098,             0.00024134,             0.00024134,             0.00024134
                     28,                0.95534,                 0.7307,                0.87877,                0.62591,                0.97877,                0.77614,                 0.6029,                0.79681,                 2.3595,                0.83098,             0.00024729,             0.00024729,             0.00024729
                     29,                 1.2288,                0.76848,                0.86878,                0.86107,                0.97369,                  0.995,                0.68839,                0.94715,                0.95522,                0.84851,             0.00025298,             0.00025298,             0.00025298
                     30,                 1.0007,                0.81085,                0.85449,                0.86107,                0.97369,                  0.995,                0.68839,                0.94715,                0.95522,                0.84851,             0.00025843,             0.00025843,             0.00025843
                     31,                  1.019,                0.90652,                0.87313,                0.93482,                 0.9802,                  0.995,                0.65764,                 1.0905,                0.93486,                0.86633,             0.00026363,             0.00026363,             0.00026363
                     32,                0.94831,                0.63856,                0.83334,                0.93482,                 0.9802,                  0.995,                0.65764,                 1.0905,                0.93486,                0.86633,             0.00026858,             0.00026858,             0.00026858
                     33,                  1.066,                0.70608,                0.84891,                0.75902,                0.99406,                0.95875,                0.66006,                 1.0058,                 1.6049,                0.85485,             0.00027328,             0.00027328,             0.00027328
                     34,                0.96697,                0.69254,                0.82479,                0.75902,                0.99406,                0.95875,                0.66006,                 1.0058,                 1.6049,                0.85485,             0.00027774,             0.00027774,             0.00027774
                     35,                0.90721,                0.76132,                0.86063,                0.61768,                0.95527,                0.84279,                0.62063,                0.84923,                 2.4721,                0.83546,             0.00028194,             0.00028194,             0.00028194
                     36,                0.95205,                0.72244,                 0.8712,                0.61768,                0.95527,                0.84279,                0.62063,                0.84923,                 2.4721,                0.83546,             0.00028591,             0.00028591,             0.00028591
                     37,                 0.9178,                0.75714,                0.84697,                0.85258,                0.97993,                  0.995,                0.81271,                0.70953,                0.86301,                 0.8227,             0.00028962,             0.00028962,             0.00028962
                     38,                 1.1321,                0.73092,                0.87906,                0.85258,                0.97993,                  0.995,                0.81271,                0.70953,                0.86301,                 0.8227,             0.00029309,             0.00029309,             0.00029309
                     39,                 1.1724,                0.83838,                0.87048,                 0.9226,                      1,                  0.995,                0.83073,                0.69546,                0.66952,                 0.8204,             0.00029631,             0.00029631,             0.00029631
                     40,                0.91163,                0.70972,                0.85025,                 0.9226,                      1,                  0.995,                0.83073,                0.69546,                0.66952,                 0.8204,             0.00029928,             0.00029928,             0.00029928
                     41,                 0.9392,                0.68986,                0.85707,                 0.9008,                      1,                0.99375,                0.82098,                0.68747,                0.66963,                0.81883,               0.000302,               0.000302,               0.000302
                     42,                0.97303,                0.84438,                0.88762,                 0.9008,                      1,                0.99375,                0.82098,                0.68747,                0.66963,                0.81883,             0.00030448,             0.00030448,             0.00030448
                     43,                0.81856,                0.79079,                0.83558,                0.93667,                      1,                0.99375,                0.81185,                0.70404,                0.68516,                 0.8184,             0.00030671,             0.00030671,             0.00030671
                     44,                 1.0044,                0.62357,                0.84025,                0.93667,                      1,                0.99375,                0.81185,                0.70404,                0.68516,                 0.8184,             0.00030869,             0.00030869,             0.00030869
                     45,                 1.0584,                0.67647,                 0.8424,                0.77328,                      1,                0.99375,                0.78594,                 0.8098,                 1.2741,                 0.8281,             0.00031042,             0.00031042,             0.00031042
                     46,                0.90336,                0.58399,                0.83285,                0.77328,                      1,                0.99375,                0.78594,                 0.8098,                 1.2741,                 0.8281,             0.00031191,             0.00031191,             0.00031191
                     47,                0.98648,                0.70472,                0.88407,                0.69003,                0.99122,                0.75729,                0.58789,                0.81391,                 2.0933,                0.82764,             0.00031315,             0.00031315,             0.00031315
                     48,                 1.0136,                0.70421,                0.83491,                0.69003,                0.99122,                0.75729,                0.58789,                0.81391,                 2.0933,                0.82764,             0.00031414,             0.00031414,             0.00031414
                     49,                 0.9732,                0.65237,                0.85174,                0.82814,                0.97091,                0.99083,                0.76918,                0.80127,                0.96759,                0.82703,             0.00031488,             0.00031488,             0.00031488
                     50,                0.94287,                0.60505,                0.85267,                0.82814,                0.97091,                0.99083,                0.76918,                0.80127,                0.96759,                0.82703,             0.00031538,             0.00031538,             0.00031538
                     51,                0.93616,                0.67809,                 0.8618,                0.93507,                      1,                0.99375,                0.79559,                 0.7623,                0.68997,                 0.8219,             0.00031562,             0.00031562,             0.00031562
                     52,                 1.0394,                0.64179,                0.85346,                0.93507,                      1,                0.99375,                0.79559,                 0.7623,                0.68997,                 0.8219,             0.00031563,             0.00031563,             0.00031563
                     53,                0.88407,                0.60447,                0.84573,                0.93507,                      1,                0.99375,                0.79559,                 0.7623,                0.68997,                 0.8219,             0.00031538,             0.00031538,             0.00031538
                     54,                0.93533,                 0.6058,                0.83558,                0.92308,                      1,                  0.995,                0.80555,                 0.7401,                0.64326,                0.81748,             0.00031489,             0.00031489,             0.00031489
                     55,                0.95589,                 0.6381,                0.82413,                0.92308,                      1,                  0.995,                0.80555,                 0.7401,                0.64326,                0.81748,             0.00031414,             0.00031414,             0.00031414
                     56,                0.93015,                0.66589,                0.84428,                0.92308,                      1,                  0.995,                0.80555,                 0.7401,                0.64326,                0.81748,             0.00031316,             0.00031316,             0.00031316
                     57,                0.93848,                0.57624,                0.85715,                0.94124,                      1,                  0.995,                0.84077,                0.69725,                0.59532,                0.81371,             0.00031192,             0.00031192,             0.00031192
                     58,                0.91635,                0.59544,                0.85584,                0.94124,                      1,                  0.995,                0.84077,                0.69725,                0.59532,                0.81371,             0.00031044,             0.00031044,             0.00031044
                     59,                 1.0021,                0.61389,                0.84539,                0.94124,                      1,                  0.995,                0.84077,                0.69725,                0.59532,                0.81371,              0.0003087,              0.0003087,              0.0003087
                     60,                  1.002,                0.64401,                0.85258,                0.95626,                      1,                  0.995,                0.79627,                 0.7038,                0.53192,                0.81489,             0.00030673,             0.00030673,             0.00030673
                     61,                0.96646,                 0.6097,                 0.8497,                0.95626,                      1,                  0.995,                0.79627,                 0.7038,                0.53192,                0.81489,              0.0003045,              0.0003045,              0.0003045
                     62,                0.89921,                 0.5751,                0.86777,                0.95626,                      1,                  0.995,                0.79627,                 0.7038,                0.53192,                0.81489,             0.00030203,             0.00030203,             0.00030203
                     63,                0.92648,                0.57914,                0.84721,                0.95339,                      1,                  0.995,                0.81318,                0.69257,                0.47978,                0.81539,              0.0002993,              0.0002993,              0.0002993
                     64,                0.91793,                0.61837,                0.84478,                0.95339,                      1,                  0.995,                0.81318,                0.69257,                0.47978,                0.81539,             0.00029634,             0.00029634,             0.00029634
                     65,                0.82101,                0.79778,                0.85387,                0.95339,                      1,                  0.995,                0.81318,                0.69257,                0.47978,                0.81539,             0.00029312,             0.00029312,             0.00029312
                     66,                0.97989,                0.68627,                0.85227,                0.95226,                      1,                  0.995,                 0.8068,                0.70122,                 0.4676,                0.81675,             0.00028966,             0.00028966,             0.00028966
                     67,                0.89541,                0.57982,                0.84436,                0.95226,                      1,                  0.995,                 0.8068,                0.70122,                 0.4676,                0.81675,             0.00028594,             0.00028594,             0.00028594
                     68,                0.96486,                0.59652,                0.83913,                0.95226,                      1,                  0.995,                 0.8068,                0.70122,                 0.4676,                0.81675,             0.00028199,             0.00028199,             0.00028199
                     69,                  1.035,                0.63786,                0.83593,                0.95072,                0.99615,                  0.995,                0.81525,                0.69922,                0.47677,                0.81527,             0.00027778,             0.00027778,             0.00027778
                     70,                0.95004,                0.57895,                0.85019,                0.95072,                0.99615,                  0.995,                0.81525,                0.69922,                0.47677,                0.81527,             0.00027333,             0.00027333,             0.00027333
                     71,                0.97383,                0.59974,                0.82587,                0.95072,                0.99615,                  0.995,                0.81525,                0.69922,                0.47677,                0.81527,             0.00026863,             0.00026863,             0.00026863
                     72,                0.88681,                0.51231,                0.84984,                 0.9487,                0.99875,                  0.995,                0.82354,                0.68985,                0.52428,                0.81129,             0.00026368,             0.00026368,             0.00026368
                     73,                0.87414,                0.61014,                0.83506,                 0.9487,                0.99875,                  0.995,                0.82354,                0.68985,                0.52428,                0.81129,             0.00025848,             0.00025848,             0.00025848
                     74,                0.93596,                0.57698,                0.84524,                 0.9487,                0.99875,                  0.995,                0.82354,                0.68985,                0.52428,                0.81129,             0.00025304,             0.00025304,             0.00025304
                     75,                0.89127,                 0.6204,                0.84227,                0.93864,                0.99811,                  0.995,                0.82253,                0.67022,                0.50448,                0.81061,             0.00024734,             0.00024734,             0.00024734
                     76,                0.96691,                0.55089,                0.85356,                0.93864,                0.99811,                  0.995,                0.82253,                0.67022,                0.50448,                0.81061,             0.00024141,             0.00024141,             0.00024141
                     77,                0.93805,                0.54948,                0.84495,                0.93864,                0.99811,                  0.995,                0.82253,                0.67022,                0.50448,                0.81061,             0.00023522,             0.00023522,             0.00023522
                     78,                0.84196,                  0.504,                0.83341,                0.93307,                0.99454,                  0.995,                0.84186,                0.67066,                0.48841,                0.81004,             0.00022879,             0.00022879,             0.00022879
                     79,                0.90856,                0.60817,                0.83359,                0.93307,                0.99454,                  0.995,                0.84186,                0.67066,                0.48841,                0.81004,              0.0002221,              0.0002221,              0.0002221
