,x1,y1,x2,y2,percent,class
0,300.86682,298.4894,331.56702,328.43118,0.93275833,1.0
1,367.3003,275.4652,383.0017,290.9431,0.9165627,6.0
2,441.02258,342.17175,457.39117,358.10217,0.9142308,6.0
3,290.76382,344.7942,306.09506,360.65613,0.9078676,6.0
4,398.13663,270.0622,414.27664,286.41602,0.9038935,6.0
5,241.46152,455.09088,257.7277,471.74805,0.90268946,6.0
6,327.727,434.51508,355.83856,463.31128,0.89952195,1.0
7,380.0357,296.5399,395.00848,311.73727,0.8915038,6.0
8,52.87761,191.14934,67.94679,206.95158,0.8896917,6.0
9,439.7652,257.59216,456.12207,274.03955,0.8793535,6.0
10,423.90125,371.55267,438.49744,387.62848,0.82736725,6.0
11,335.13058,420.6165,349.8494,436.23868,0.82063764,6.0
